Bulwarowa,50.075127,20.053031
Bulwarowa Ogródki Działkowe,50.071084,20.053458
Bunscha,50.011882,19.883098
Burów,50.094926,19.767923
Burów I,50.094100,19.773588
Bystronia,50.110003,20.115342
Cechowa,50.008035,19.974287
Cedyńska,50.091346,20.005760
Centralna,50.069150,20.012154
Centrum JP II,50.013627,19.943038
Chabrowa,50.098422,19.912075
Chałubińskiego,49.983047,19.936923
Chałupki,50.049120,20.122318
Chałupki Górne,50.054857,20.125374
Chełm,50.067883,19.846845
Chełmska,50.065128,19.842853
Chmieleniec,50.020569,19.895478
Chobot,50.068378,20.351915
Chobot Leśniczówka,50.071849,20.366420
Cholerzyn,50.058406,19.777235
Cholerzyn Granica,50.058185,19.757022
Cholerzyn Sklep,50.059177,19.769468
Cholerzyn Skrzyżowanie,50.058130,19.763288
Chorowice,49.949369,19.869503
Chrosna,50.083031,19.710931
Chrosna Kapliczka,50.080167,19.731788
Chrosna Sklep,50.079451,19.722003
Chrosna Studnia,50.081378,19.716768
Cichy Kącik,50.062593,19.902763
Ciekowiec,50.050359,20.164362
Clepardia,50.093208,19.944772
Cło,50.080415,20.185317
Cmentarz Batowice,50.101378,19.982510
Cmentarz Grębałów,50.091044,20.070133
Cmentarz Podgórski,50.038151,19.965505
Cmentarz Rakowicki,50.074439,19.957373
Cmentarz Rakowicki Zachód,50.076025,19.947542
Conrada,50.088483,19.898729
Cracovia,50.059718,19.925114
Cracovia Błonia,50.058953,19.922018
Cracovia Stadion,50.058350,19.922721
Cystersów,50.066526,19.970022
Czajowice,50.189758,19.797813
Czarnochowice I,50.012234,20.079488
Czarnowiejska,50.066505,19.922847
Czernichów,49.986993,19.675805
Czernichów Bór,50.000898,19.665870
Czernichów GS,49.992091,19.685815
Czernichów II,49.990890,19.669368
Czernichów Stacja Paliw,49.991960,19.687843
Czerwiakowskiego,50.008235,20.009837
Czerwieńskiego,50.083912,19.902505
Czerwone Maki,50.017770,19.892147
Czulice,50.125510,20.190446
Czulice I,50.120942,20.185672
Czułów,50.061326,19.691963
Czułówek,50.038399,19.684753
Czułówek Kapliczka,50.042540,19.680093
Czułów I,50.059508,19.707241
Czułów II,50.059398,19.701232
Czyżyny,50.074025,20.012412
Czyżyny Dworzec,50.075209,20.015673
Ćwiklińskiej,50.015864,20.019536
Darwina,50.091071,20.057988
Dauna,50.019790,19.977951
Dąbie,50.061171,19.979860
Dąbrowa,50.023774,19.848024
Dąbrowa Szlachecka,49.995215,19.734792
Dąbrowa Szlachecka Figurka,49.996484,19.746036
Dąbrowa Szlachecka Krzemiennik,49.996594,19.735007
Dąbrowa Szlachecka Krzyż,49.998195,19.751443
Dąbrówki,49.960800,19.960505
Dąbrówki I,49.960994,19.954519
DH Wanda,50.084547,20.020531
Dłubnia,50.113987,20.023398
Dobrzyczany,49.956756,19.929134
Dojazdów Działki,50.131225,20.107855
Dojazdów PKS,50.126576,20.101718
Dom Spokojnej Starości,50.009104,20.004022
Dożynkowa,50.102411,19.945983
Droga do Garliczki,50.149578,19.921860
Droga do Janowic,49.932052,19.989924
Droga do Jeziorzan,49.999629,19.779767
Droga do Kaszowa,50.059783,19.721403
Droga do Niegoszowic,50.112652,19.732990
Droga do Rząski,50.102551,19.861736
Droga do Sidziny,49.971566,19.876416
Drożdżowa,50.01191,20.04040
Drożyska,50.064660,20.168409
Drużbackiej,49.98208,19.98927
Dubie,50.145006,19.693593
Dunikowskiego,50.092310,20.015802
Dworcowa,50.033024,19.970430
Dworzec Główny,50.064632,19.945077
Dworzec Główny Tunel,50.068902,19.946665
Dworzec Główny Wschód,50.068508,19.949386
Dworzec Główny Zachód,50.067774,19.945320
Dworzec Płaszów,50.034457,19.972951
Dworzec Towarowy,50.075540,19.940335
Dwór Czeczów,50.015281,20.040414
Dymarek,50.052647,20.101804
Dziady,50.060169,19.744834
Dziekanowice Stacja Batowice,50.10793,19.99584
EC Łęg,50.051259,20.003694
Elektrociepłownia Kraków,50.056560,20.000996
Elektromontaż,50.087767,20.065412
